Date	period	outcome_LiborRepo	nonfinancial_MortgageDebtToIncome	nonfinancial_ConsumerCredit	nonfinancial_HouseholdDebtToIncome	nonfinancial_CommercialRealEstateCredit	nonfinancial_CorporateCredit	nonfinancial_CorporateDebtToIncome	nonfinancial_CurrentAccount	nonfinancial_ForeignAssetPositionGDP	nonfinancial_ExternalDebtToGDP	asset_HousePriceToIncome	asset_HousePriceToRent	asset_HousePriceGrowth	asset_InvestmentGradeBondSpread	asset_equityPEratio	credit_SpreadNewMortgage	credit_DiffSpreadHighLowLTV	credit_SpreadHouseholdLending			
1997 Q1	1	26.36	61.45	8.25	86.23	-2.82	7.07	 219.77 	0.501906135	5.34	164.2552411	2.17	71.8	-3.98	45.98	5.733944954	90.23	5.42	612.0095943			
1997 Q2	2	-2.09	61.47	7.79	86.58	4.36	7.47	 227.77 	-0.293766055	5.93	167.1016621	2.17	71.38	-3.18	45.84	5.515719801	65.72	3.66	559.2999623			
1997 Q3	3	14.40	61.40	7.15	87.06	-0.89	9.35	 238.11 	0.371140143	4.16	173.435886	2.22	73.59	-2.49	48.38	5.015045135	65.29	2.05	550.9820308			
1997 Q4	4	25.53	61.43	7.07	87.31	-4.38	7.81	 238.58 	-0.766139476	4.51	176.4561277	2.18	72.71	-1.70	54.52	5.151983514	67.19	15.93	547.4292203			
1998 Q1	5	30.91	61.66	7.60	87.87	2.35	8.49	 241.99 	-1.289016463	2.22	173.5321685	2.26	75.73	-0.87	61.33	4.574565416	78.38	19.02	544.232939			
1998 Q2	6	6.89	62.31	7.34	89.04	-0.86	8.14	 242.05 	-1.191798931	0.08	177.615512	2.34	77.56	-0.05	64.30	4.595588235	58.13	23.69	517.6909142			
1998 Q3	7	64.42	63.24	7.41	90.60	9.26	7.57	 256.15 	0.707773897	-4.04	181.7110398	2.41	79.7	0.95	83.22	5.376344086	114.44	17.9	539.4366956			
1998 Q4	8	120.82	63.73	7.53	91.31	15.06	8.32	 252.75 	-0.258380814	-5.65	180.7460043	2.46	81.38	1.53	128.88	4.677268475	140	9.46	604.0927212			
1999 Q1	9	70.82	64.25	8.14	92.65	17.11	9.07	 265.85 	-3.019672449	-7.75	186.4813208	2.5	82.27	2.09	109.33	4.125412541	101.2	24.52	598.0082794			
1999 Q2	10	50.28	64.91	8.05	93.28	12.83	9.39	 278.71 	-2.462491274	-3.22	184.6622106	2.6	84.35	2.65	106.19	3.709198813	92.03	8.65	594.6831508			
1999 Q3	11	-1.67	65.86	8.39	94.51	11.44	9.04	 276.66 	-2.675066262	-2.71	180.1067574	2.67	86.81	3.15	113.22	3.941663382	64.6	18.57	537.7734821			
1999 Q4	12	44.58	66.14	8.72	94.91	14.64	9.23	 292.33 	-1.73467079	-6.20	177.2226347	2.72	88.92	3.80	120.42	3.491620112	81.56	25.51	528.8277772			
2000 Q1	13	22.86	65.91	8.63	94.67	13.98	9.24	 299.32 	-2.224835615	-3.92	189.5047984	2.74	91.17	4.41	125.25	3.679175865	71.87	18.52	477.3846214			
2000 Q2	14	37.81	66.54	8.88	95.49	18.70	8.70	 311.03 	-2.542472173	3.29	199.0641066	2.84	93.85	4.64	143.55	3.789314134	88.32	15.5	501.1301059			
2000 Q3	15	38.06	66.82	8.30	95.76	22.06	8.08	 315.62 	-2.318003353	2.17	200.492122	2.81	93.69	4.64	144.33	4.00160064	84.63	23.51	492.4117866			
2000 Q4	16	41.14	66.92	7.68	95.79	23.27	7.09	 321.66 	-1.971086394	2.16	204.4848182	2.85	95.73	4.49	130.97	4.442470013	89.79	15.35	499.8122119			
2001 Q1	17	44.08	67.14	8.23	96.46	24.02	8.71	 342.98 	-1.806948591	2.82	228.2662934	2.86	97.2	4.35	127.11	4.943153732	89.13	11.1	501.2911384			
2001 Q2	18	22.51	68.03	8.59	97.69	23.84	8.16	 340.67 	-2.389052192	1.52	224.5946229	2.89	97.08	4.33	118.73	4.761904762	80.36	7.79	523.351958			
2001 Q3	19	67.67	69.25	9.64	99.44	24.32	8.73	 340.92 	-2.361464478	1.08	222.4301693	2.94	99.24	4.58	114.63	5.376344086	80.31	15.66	548.6950217			
2001 Q4	20	28.72	70.53	11.04	101.63	22.76	10.58	 344.19 	-1.704736457	-2.06	220.81339	2.96	100.22	5.29	122.44	4.732607667	88.43	18.18	570.3070404			
2002 Q1	21	7.88	71.70	11.95	103.77	20.88	9.78	 341.13 	-2.099794239	-0.69	221.4736844	3.03	102.96	6.09	107.59	4.277159966	84.79	20.1	544.3292275			
2002 Q2	22	19.22	73.09	12.98	105.55	21.08	10.65	 341.51 	-3.01293531	2.15	221.2569232	3.18	107.7	7.02	100.02	4.789272031	92.71	19.16	541.0530485			
2002 Q3	23	23.81	75.00	14.49	108.42	20.00	12.53	 347.23 	-1.56318817	3.57	219.8572219	3.35	114.09	8.00	126.06	5.659309564	94.29	17.39	490.8863704			
2002 Q4	24	12.78	76.94	14.24	110.32	19.86	10.22	 331.87 	-1.561039816	3.46	221.9880548	3.55	121.28	8.90	135.52	5.15995872	97.71	19.12	490.8129668			
2003 Q1	25	30.53	79.10	14.06	112.04	21.85	9.17	 322.20 	-0.793619868	5.91	236.203361	3.63	124.66	9.64	127.97	6.049606776	97.99	11.29	453.3795965			
2003 Q2	26	18.48	81.44	14.14	115.18	23.25	9.53	 329.28 	-2.1816477	3.21	240.3710609	3.67	125.34	10.39	108.36	5.720823799	83.65	15.48	446.1751842			
2003 Q3	27	2.44	83.92	13.66	118.38	20.55	8.43	 329.18 	-2.515939868	2.79	242.2594763	3.71	127.18	11.11	87.02	5.672149745	86.25	24.06	445.3317925			
2003 Q4	28	7.39	86.13	15.39	121.11	16.77	10.02	 322.87 	-1.551923035	2.52	236.0613929	3.8	131.32	11.71	75.42	5.285412262	99.28	21.46	444.4218771			
2004 Q1	29	-2.79	88.03	15.30	123.42	15.46	10.51	 322.51 	-2.350910881	1.58	247.7870894	3.84	133.65	12.50	78.92	5.77034045	88.63	21.78	399.9367819			
2004 Q2	30	-5.68	89.96	14.97	125.55	16.62	9.99	 313.37 	-2.523573171	-1.88	249.9049265	3.97	137.61	13.33	83.64	5.854800937	89.42	19.2	371.3736242			
2004 Q3	31	19.67	91.82	14.16	127.57	16.50	9.33	 322.70 	-3.413352659	-5.15	261.0097221	4.06	141.7	13.87	84.03	6.25	70.01	24	341.6452097			
2004 Q4	32	15.98	93.26	12.33	129.32	16.39	8.21	 329.76 	-1.025850478	-3.78	263.246064	4.11	143.5	13.99	77.09	6.402048656	72.38	19.2	374.7478074			
2005 Q1	33	11.31	93.67	11.20	129.97	18.80	8.11	 339.58 	-2.164596713	-3.51	277.3546153	4.12	144.14	13.55	69.50	6.435006435	62.85	22.58	397.2366702			
2005 Q2	34	24.67	95.07	10.46	131.41	18.69	7.87	 351.64 	-0.580229103	-4.87	290.50297	4.13	143.45	12.32	82.92	6.506180872	61.82	19.84	362.3165076			
2005 Q3	35	17.10	96.53	9.60	132.60	19.93	6.84	 358.54 	-2.649857401	-5.57	298.3720876	4.15	144.27	10.71	74.02	6.596306069	53.15	17.7	358.7093416			
2005 Q4	36	16.90	97.71	8.94	133.32	21.23	7.70	 355.63 	-2.388024799	-2.90	301.1745546	4.16	146.01	8.82	75.28	6.706908115	63.18	23.68	378.4319047			
2006 Q1	37	16.55	98.84	9.36	134.75	19.07	8.13	 354.53 	-2.856811984	-5.15	318.5031705	4.22	148.92	7.15	75.66	7.112375533	56.43	25.49	371.2611728			
2006 Q2	38	15.82	100.62	9.97	137.64	18.44	7.99	 355.65 	-2.394747007	-6.96	313.5625817	4.28	149.51	5.96	75.53	7.451564829	46.99	25.33	362.4905476			
2006 Q3	39	-13.39	102.77	11.26	140.97	18.31	9.54	 359.49 	-2.936494231	-6.90	314.6880154	4.33	151.23	5.10	81.23	7.639419404	49.86	27.14	335.1624413			
2006 Q4	40	6.22	104.38	12.38	143.16	18.29	10.69	 366.04 	-2.958587792	-8.49	312.5203824	4.42	155.61	4.71	80.02	6.963788301	40.23	23.51	313.4930609			
2007 Q1	41	8.04	104.91	12.35	143.98	17.35	10.35	 376.71 	-3.317666575	-3.63	334.2204016	4.49	159.54	4.16	78.20	7.412898443	45.1	26.94	312.3087997			
