Date,period,liquidity,nonfinancial_mortgageDI,nonfinancial_consumercredit,nonfinancial_householdDI,nonfinancial_CREcredit,nonfinancial_PNFCcredit,nonfinancial_PNFCDI,nonfinancial_current,nonfinancial_foreignasset,nonfinancial_extdebt,asset_Hpincome,asset_HPrent,asset_Hpgrowth,asset_bondspread,asset_FTSEPE,credit_SpreadNewMortgages,credit_DiffSpreadHighLowLTVMortgage,credit_SpreadNewHouseholdLending
1997 Q1,1,26.36,61.51,8.24,86.5,-2.82,7.07,221.7,0.501906135,5.34,164.2552411,2.17,71.8,-3.98,45.98,5.733944954,90.23,45.98,-3.98
1997 Q2,2,-2.09,61.44,7.78,86.72,4.36,7.47,230.45,-0.293766055,5.93,167.1016621,2.17,71.38,-3.18,45.84,5.515719801,65.72,54.52,-1.70
1997 Q3,3,14.4,61.21,7.15,86.98,-0.89,9.35,237.84,0.371140143,4.16,173.435886,2.22,73.59,-2.49,48.38,5.015045135,65.29,83.22,0.95
1997 Q4,4,25.53,61.23,7.07,87.21,-4.38,7.81,235.63,-0.766139476,4.51,176.4561277,2.18,72.71,-1.7,54.52,5.151983514,67.19,106.19,2.65
1998 Q1,5,30.91,61.29,7.6,87.53,2.35,8.49,239.02,-1.289016463,2.22,173.5321685,2.26,75.73,-0.87,61.33,4.574565416,78.38,125.25,4.41
1998 Q2,6,6.89,61.79,7.34,88.49,-0.86,8.14,240.73,-1.191798931,0.08,177.615512,2.34,77.56,-0.05,64.3,4.595588235,58.13,130.97,4.49
1998 Q3,7,64.42,62.5,7.4,89.72,9.26,7.57,259.86,0.707773897,-4.04,181.7110398,2.41,79.7,0.95,83.22,5.376344086,114.44,114.63,4.58
1998 Q4,8,120.82,62.87,7.63,90.36,15.06,8.32,260.17,-0.258380814,-5.65,180.7460043,2.46,81.38,1.53,128.88,4.677268475,140.00,100.02,7.02
1999 Q1,9,70.82,63.55,8.11,91.81,17.11,9.07,272.43,-3.019672449,-7.75,186.4813208,2.5,82.27,2.09,109.33,4.125412541,101.20,127.97,9.64
1999 Q2,10,50.28,64.39,8.01,92.68,12.83,9.39,284.39,-2.462491274,-3.22,184.6622106,2.6,84.35,2.65,106.19,3.709198813,92.03,75.42,11.71
1999 Q3,11,-1.67,65.58,8.34,94.27,11.44,9.04,280.05,-2.675066262,-2.71,180.1067574,2.67,86.81,3.15,113.22,3.941663382,64.60,84.03,13.87
1999 Q4,12,44.58,65.98,8.65,94.91,14.64,9.23,294.79,-1.73467079,-6.2,177.2226347,2.72,88.92,3.8,120.42,3.491620112,81.56,82.92,12.32
2000 Q1,13,22.86,65.63,8.65,94.48,13.98,9.24,303.9,-2.224835615,-3.92,189.5047984,2.74,91.17,4.41,125.25,3.679175865,71.87,75.66,7.15
2000 Q2,14,37.81,66.19,8.93,95.19,18.7,8.7,314.17,-2.542472173,3.29,199.0641066,2.84,93.85,4.64,143.55,3.789314134,88.32,80.02,4.71
2000 Q3,15,38.06,66.47,8.31,95.44,22.06,8.08,317.82,-2.318003353,2.17,200.492122,2.81,93.69,4.64,144.33,4.00160064,84.63,114.84,2.72
2000 Q4,16,41.14,66.55,7.72,95.52,23.27,7.09,321.27,-1.971086394,2.16,204.4848182,2.85,95.73,4.49,130.97,4.442470013,89.79,216.16,0.51
2001 Q1,17,44.08,66.78,8.24,96.16,24.02,8.71,342.66,-1.806948591,2.82,228.2662934,2.86,97.2,4.35,127.11,4.943153732,89.13,491.45,-2.25
2001 Q2,18,22.51,67.6,8.6,97.28,23.84,8.16,346.14,-2.389052192,1.52,224.5946229,2.89,97.08,4.33,118.73,4.761904762,80.36,228.03,-3.72
2001 Q3,19,67.67,68.74,9.64,98.88,24.32,8.73,351.65,-2.361464478,1.08,222.4301693,2.94,99.24,4.58,114.63,5.376344086,80.31,211.92,-4.35
2001 Q4,20,28.72,69.9,11.05,101.02,22.76,10.58,360.16,-1.704736457,-2.06,220.81339,2.96,100.22,5.29,122.44,4.732607667,88.43,196.17,-4.59
2002 Q1,21,7.88,70.97,11.95,102.94,20.88,9.78,357.37,-2.099794239,-0.69,221.4736844,3.03,102.96,6.09,107.59,4.277159966,84.79,296.36,-2.09
2002 Q2,22,19.22,72.33,12.99,104.67,21.08,10.65,357.35,-3.01293531,2.15,221.2569232,3.18,107.7,7.02,100.02,4.789272031,92.71,209.56,-2.46
2002 Q3,23,23.81,74.27,14.51,107.58,20,12.53,361.17,-1.56318817,3.57,219.8572219,3.35,114.09,8,126.06,5.659309564,94.29,168.50,-3.55
2002 Q4,24,12.78,76.27,14.25,109.69,19.86,10.22,340.89,-1.561039816,3.46,221.9880548,3.55,121.28,8.9,135.52,5.15995872,97.71,132.38,-1.25
2003 Q1,25,30.53,78.57,14.05,111.53,21.85,9.17,327.65,-0.793619868,5.91,236.203361,3.63,124.66,9.64,127.97,6.049606776,97.99,136.09,0.64
2003 Q2,26,18.48,80.91,14.13,114.67,23.25,9.53,332.82,-2.1816477,3.21,240.3710609,3.67,125.34,10.39,108.36,5.720823799,83.65,172.52,2.71
2003 Q3,27,2.44,83.34,13.66,117.8,20.55,8.43,333.27,-2.515939868,2.79,242.2594763,3.71,127.18,11.11,87.02,5.672149745,86.25,152.78,3.80
2003 Q4,28,7.39,85.42,15.37,120.46,16.77,10.02,326.74,-1.551923035,2.52,236.0613929,3.8,131.32,11.71,75.42,5.285412262,99.28,138.11,2.69
2004 Q1,29,-2.79,87.23,15.31,122.57,15.46,10.51,326.39,-2.350910881,1.58,247.7870894,3.84,133.65,12.5,78.92,5.77034045,88.63,93.04,2.90
2004 Q2,30,-5.68,89.23,14.97,124.8,16.62,9.99,316.66,-2.523573171,-1.88,249.9049265,3.97,137.61,13.33,83.64,5.854800937,89.42,124.36,0.50
2004 Q3,31,19.67,91.06,14.16,126.79,16.5,9.33,324.75,-3.413352659,-5.15,261.0097221,4.06,141.7,13.87,84.03,6.25,70.01,0.00,0.00
