Series Description,U.S.-chartered depository institutions; vault cash; asset,U.S.-chartered depository institutions; customers' liability on acceptances; asset,Domestic financial sectors; Treasury securities; asset,Domestic financial sectors; trade receivables; asset,Domestic financial sectors; trade payables; liability,Reserves,Fed float,Fed borrowing,Foreign deposits,,,
Unit:,Currency,Currency,Currency,Currency,Currency,,,,,,,
Multiplier:,1000000,1000000,1000000,1000000,1000000,,,,,,,
Currency:,USD,USD,USD,USD,USD,,,,,,,
Unique Identifier: ,Z1/Z1/FL763025000.Q,Z1/Z1/FL763069703.Q,Z1/Z1/FL793061105.Q,Z1/Z1/FL793070005.Q,Z1/Z1/FL793170005.Q,,,,,,,
Time Period,FL763025000.Q,FL763069703.Q,FL793061105.Q,FL793070005.Q,FL793170005.Q,FL763013005,FL713022003,FL713068705,FL633091003.Q,,GOVT ASSETS-LIAB,SHORT TERM ASSETS-LIAB
1980Q1,15333,28858,360758,14081,1400,31504,3682,2502,6316,,401411,47855
1980Q2,16029,31350,374645,14581,1500,32824,4167,215,7056,,419116,51487
1980Q3,17307,31371,395531,15080,1600,27634,3192,982,8657,,436298,53508
1980Q4,19807,31963,396289,15575,1700,26737,4467,1809,6769,,436557,52607
1981Q1,17288,35716,423913,16189,1800,25257,3261,656,10754,,462541,60859
1981Q2,18549,36701,418996,16879,1900,22482,2506,1010,14174,,456511,65854
1981Q3,19185,38374,436699,17583,2000,25826,2811,2486,17072,,476413,71029
1981Q4,18623,40209,468581,18117,2100,23912,1762,1601,18846,,507753,75072
1982Q1,16612,40589,488860,18674,2200,24964,1882,2646,22466,,525908,79529
1982Q2,20097,43666,489932,19206,2300,18886,2545,1638,23204,,524732,83776
1982Q3,19198,43734,535841,19725,2450,18771,550,1123,22819,,572137,83828
1982Q4,19532,47179,591020,20242,2600,24826,2735,717,23759,,631926,88580
1983Q1,18286,43010,620182,20753,2692,21592,486,2808,19182,,656766,80253
1983Q2,20451,46526,636304,21474,3221,16763,1020,3610,19644,,668888,84423
1983Q3,17410,48376,676676,22191,3083,19759,-60,1625,19890,,712280,87374
1983Q4,20996,51796,697596,22899,5086,20449,1563,918,21911,,736560,91520
1984Q1,17333,50115,714153,23751,4027,21267,787,896,23774,,751070,93613
1984Q2,18073,55097,711027,24703,4133,19252,-655,4760,22971,,744247,98638
1984Q3,18345,50308,757292,25641,4727,22512,289,6633,23651,,791227,94873
1984Q4,24238,48949,807346,26540,5465,20519,855,3577,21197,,847671,91221
1985Q1,18058,45962,838431,27404,4199,25547,298,2582,20941,,879156,90108
1985Q2,18857,42054,863860,28233,5280,25636,262,1338,18582,,906753,83589
1985Q3,21070,41260,901491,28959,5699,25462,69,2520,18983,,945434,83503
1985Q4,25537,37877,945631,29610,7998,26617,988,3060,19011,,993737,78500
1986Q1,21251,35502,998511,31097,6745,28930,560,818,19157,,1047314,79011
1986Q2,22221,33683,1019078,32409,7294,29374,283,952,22030,,1069438,80828
