Series Description,Domestic financial sectors; federal funds and security repurchase agreements; asset,Domestic financial sectors; federal funds and security repurchase agreements; liability,Domestic financial sectors; checkable deposits and currency; asset,Domestic financial sectors; total time and savings deposits; asset,Domestic financial sectors; open market paper; asset,Domestic financial sectors; mutual fund and money market fund shares; asset,Domestic financial sectors; checkable deposits and currency; liability,Domestic financial sectors; commercial paper; liability,Domestic financial sectors; open market paper; liability,Domestic financial sectors; taxes payable (net); liability,Domestic financial sectors; mutual fund and money market fund shares; liability ,Domestic financial sectors; net interbank transactions; asset,Domestic financial sectors; net interbank transactions; liability,ST deposits - liab,RPs,CHECKABLE,ST DEP,MM FUND,PAPER,INTERBANK,TAX,TOTAL SHORT TERM DEBT OF FINANCIAL SECTOR
Unit:,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency,,,,,,,,,
Multiplier:,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,,,,,,,,,
Currency:,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,,,,,,,,,
Unique Identifier: ,Z1/Z1/FL792050005.Q,Z1/Z1/FL792150005.Q,Z1/Z1/FL793020005.Q,Z1/Z1/FL793030005.Q,Z1/Z1/FL793069175.Q,Z1/Z1/FL793081205.Q,Z1/Z1/FL793120005.Q,Z1/Z1/FL793169100.Q,Z1/Z1/FL793169175.Q,Z1/Z1/FL793178005.Q,Z1/Z1/FL793181205.Q,Z1/Z1/FL794010005.Q,Z1/Z1/FL794110005.Q,,,,,,,,,
Time Period,FL792050005.Q,FL792150005.Q,FL793020005.Q,FL793030005.Q,FL793069175.Q,FL793081205.Q,FL793120005.Q,FL793169100.Q,FL793169175.Q,FL793178005.Q,FL793181205.Q,FL794010005.Q,FL794110005.Q,FL763130005,,,,,,,,
1980Q1,112893,152080,16368,55696,136827,16149,425256,81893,119384,5031,115064,53787,28616,1274402,39187,408888,1218706,98915,-17443,-25171,5031,1728113
1980Q2,130839,172214,17451,59302,145645,17467,447411,81382,122437,5180,137261,54042,26,1291143,41375,429960,1231841,119794,-23208,-54016,5180,1750926
1980Q3,132043,175436,16250,63617,143409,20050,462161,81764,123806,5297,145992,49647,-13472,1319252,43393,445911,1255635,125942,-19603,-63119,5297,1793456
1980Q4,149351,179104,17597,67263,145354,21884,477520,86616,128839,5221,146810,53560,-17998,1376829,29753,459923,1309566,124926,-16515,-71558,5221,1841316
1981Q1,145399,202595,14352,76738,158805,23591,462785,89798,136284,5043,185450,47390,-27065,1393623,57196,448433,1316885,161859,-22521,-74455,5043,1892440
1981Q2,150535,203666,15528,81085,177700,25270,477238,98611,147180,4812,201406,45714,-26264,1412124,53131,461710,1331039,176136,-30520,-71978,4812,1924330
1981Q3,161380,207484,16273,93099,196149,25701,479367,107548,158401,4590,229627,51747,-17959,1441107,46104,463094,1348008,203926,-37748,-69706,4590,1958268
1981Q4,206699,250633,16833,99865,198830,27849,505546,107563,161519,4464,255139,47236,-49281,1491882,43934,488713,1392017,227290,-37311,-96517,4464,2022590
1982Q1,189868,248300,13308,102740,206952,28526,482718,105310,161243,4373,264821,47521,-66016,1536435,58432,469410,1433695,236295,-45709,-113537,4373,2042959
1982Q2,194104,244735,15395,112816,223783,29598,488607,115174,174378,4410,277205,44504,-88966,1569627,50631,473212,1456811,247607,-49405,-133470,4410,2049796
1982Q3,214826,265321,17439,120520,215957,31757,513263,108965,167826,4606,311187,41215,-109366,1605095,50495,495824,1484575,279430,-48131,-150581,4606,2116218
1982Q4,227107,285813,18506,113469,212566,34358,543309,109160,174175,4856,308281,49497,-116301,1661389,58706,524803,1547920,273923,-38391,-165798,4856,2206019
1983Q1,223863,274156,14684,110885,210795,37622,532288,109021,168337,4857,299046,45023,-134379,1718629,50293,517604,1607744,261424,-42458,-179402,4857,2220062
1983Q2,229466,277884,14918,113924,217183,39502,564958,114774,176252,4706,300745,43110,-137606,1755023,48418,550040,1641099,261243,-40931,-180716,4706,2283859
1983Q3,242660,300605,13714,113609,225481,40593,574391,117058,182450,4648,302826,39696,-131091,1800940,57945,560677,1687331,262233,-43031,-170787,4648,2359016
1983Q4,250145,315712,15771,117613,234474,42802,582771,125183,195463,4626,306440,44950,-106520,1836906,65567,567000,1719293,263638,-39011,-151470,4626,2429643
1984Q1,262976,333625,14483,115347,247729,44052,578279,133689,201969,7600,324539,41208,-116255,1891113,70649,563796,1775766,280487,-45760,-157463,7600,2495075
1984Q2,275080,342075,16438,120286,276759,43627,590311,136615,212570,7668,329508,42455,-107476,1949614,66995,573873,1829328,285881,-64189,-149931,7668,2549625
1984Q3,279289,362405,15759,120587,279713,48111,597123,139644,213566,7903,350666,48908,-99791,2003947,83116,581364,1883360,302555,-66147,-148699,7903,2643452
1984Q4,325302,399322,17559,125222,287632,50300,629686,149513,223490,7779,386891,50524,-104529,2071964,74020,612127,1946742,336591,-64142,-155053,7779,2758064
1985Q1,307700,373377,15768,130362,298888,53357,602283,159993,230243,7938,415257,47960,-104669,2118298,65677,586515,1987936,361900,-68645,-152629,7938,2788692
1985Q2,323934,382373,18999,135929,309467,57433,640411,164938,232196,7733,452110,47718,-101337,2143028,58439,621412,2007099,394677,-77271,-149055,7733,2863034
1985Q3,344359,407262,20773,133798,326101,57348,660608,181247,247014,8224,464857,50855,-99210,2168628,62903,639835,2034830,407509,-79087,-150065,8224,2924149
1985Q4,404957,470775,32698,129063,339882,65948,713479,202454,267071,8831,516768,58216,-67164,2201750,65818,680781,2072687,450820,-72811,-125380,8831,3080746
1986Q1,407109,490342,30915,130476,339133,76932,685385,204476,265389,9048,607222,53411,-70706,2229759,83233,654470,2099283,530290,-73744,-124117,9048,3178463
1986Q2,438937,520571,31611,132059,354556,79768,738507,216713,276457,9562,660589,55396,-76516,2241206,81634,706896,2109147,580821,-78099,-131912,9562,3278049
1986Q3,468483,549607,33856,135347,371435,78661,747563,221280,283177,10107,703187,61131,-73221,2269897,81124,713707,2134550,624526,-88258,-134352,10107,3341404
1986Q4,493246,574529,40708,139758,366693,83104,838882,239872,298632,10284,742519,76585,-64758,2293234,81283,798174,2153476,659415,-68061,-141343,10284,3493228
1987Q1,495430,579246,38366,136176,376613,93951,763926,250262,309351,10443,843909,71294,-49026,2290843,83816,725560,2154667,749958,-67262,-120320,10443,3536862
1987Q2,514851,586548,37644,138454,391177,99878,821170,261750,325098,8520,851889,62603,-70876,2310284,71697,783526,2171830,752011,-66079,-133479,8520,3588026
1987Q3,534974,617103,38998,140764,393599,104951,815533,265455,326477,8471,862406,65638,-39113,2336261,82129,776535,2195497,757455,-67122,-104751,8471,3648214
1987Q4,557008,634977,42803,137555,413716,86433,842856,273573,337909,8302,797562,71268,-35547,2398101,77969,800053,2260546,711129,-75807,-106815,8302,3675377
